ID,CITY,ADDRESS,BEDS,BATHS,HALF_BATH,SQ_FT,STYLE,FLOORS,RECENT_PRICE,LAT,LONG,NEIGHBORHOOD
17,Vellore,6981 2nd St,3,2,0,1509,Traditional,3,188346,10.808756414459504,80.302123293387,Residential Area
18,Vellore,9621 2nd St,3,2,1,3418,Traditional,1,991135,10.62376523848645,78.10094442372448,Residential Area
19,Madurai,8117 2nd St,2,1,0,2211,Ranch,2,769265,12.591946856004153,77.30080811505121,Historic District
20,Tirunelveli,9650 3rd Ave,1,1,0,2285,Modern,2,459963,12.15737508762299,79.83113591344993,Downtown
21,Salem,1431 Main St,5,2,0,3750,Ranch,3,284917,10.658712300876523,78.93204742219352,Historic District
22,Coimbatore,4361 Main St,1,2,0,3734,Victorian,2,697578,8.61399761167834,80.58601700383598,Historic District
23,Vellore,9650 Park Blvd,4,2,1,4914,Modern,2,524695,8.634716276229245,80.93072019488973,Residential Area
24,Nagapattinam,4737 3rd Ave,4,1,1,1803,Victorian,2,573915,12.408467033954915,78.59643740229892,Uptown
25,Karur,3277 3rd Ave,2,2,1,3266,Modern,2,325324,10.911648417411435,78.66175606503865,Suburb
26,Tirunelveli,2280 Main St,2,2,1,3266,Ranch,3,808653,10.648740271206494,78.6318504088229,Historic District
27,Coimbatore,7143 2nd St,2,3,0,2738,Traditional,2,793784,11.743117627483933,78.2982164389237,Historic District
28,Nagapattinam,6427 Main St,4,1,0,2739,Contemporary,2,653150,12.723628708778431,80.12674839106559,Downtown
29,Salem,5549 Main St,1,3,1,2435,Traditional,1,993521,11.458802294273179,80.03598304996291,Downtown
30,Chennai,3679 Park Blvd,1,3,1,2498,Ranch,3,655180,12.195663462905635,78.9145794822021,Residential Area
31,Nagapattinam,4264 2nd St,2,2,1,2891,Modern,1,559824,12.208987882643264,77.1786448655156,Downtown
32,Kanyakumari,8041 Main St,5,1,1,2695,Traditional,1,540857,9.959437968361275,78.23823720605229,Industrial
33,Tirunelveli,5669 Main St,1,2,1,4198,Ranch,3,347345,9.507457576025477,78.16921218621935,Historic District
34,Thanjavur,6369 3rd Ave,4,1,0,1873,Victorian,2,953051,12.406402369463372,80.24434898480104,Downtown
35,Nagapattinam,2006 3rd Ave,3,3,0,3202,Contemporary,1,752294,10.074483354813339,77.3503022936647,Uptown
36,Kochi,860 3rd Ave,3,1,0,4012,Traditional,3,920759,12.968348035874879,80.22270151617082,Industrial
37,Chennai,7450 Park Blvd,3,2,1,4837,Modern,2,368980,8.383298832015658,79.67673460879658,Residential Area
38,Dindigul,6338 3rd Ave,5,2,1,1951,Victorian,3,624869,8.320196316414368,79.9297658365218,Suburb
39,Dindigul,6131 Park Blvd,2,2,1,3245,Ranch,1,426923,13.098522880557745,78.7288527503401,Historic District
40,Sivakasi,9191 Park Blvd,4,1,1,2756,Contemporary,2,594256,11.566502027997892,79.71890318400703,Historic District
41,Kanyakumari,8572 3rd Ave,5,3,0,4707,Modern,2,900190,10.087796460465828,79.43611577882767,Uptown
42,Nagapattinam,1987 3rd Ave,4,3,0,1607,Ranch,3,599541,12.152832281489005,80.07592078091452,Suburb
43,Nagapattinam,766 Main St,4,1,1,986,Ranch,2,659163,11.697797454965027,78.78707933787301,Suburb
44,Sivakasi,771 2nd St,2,2,0,2107,Traditional,1,958062,10.921605757507779,78.89130249958521,Residential Area
45,Karur,6877 3rd Ave,3,3,0,3084,Traditional,1,789724,8.543803384644583,79.57430489095928,Residential Area
46,Karur,7670 Main St,2,2,1,1557,Modern,1,817538,12.466987730110134,77.43230997466556,Industrial
47,Sivakasi,5224 2nd St,5,1,1,4654,Ranch,3,563151,12.763127548743437,78.74497779345727,Historic District
48,Karur,4877 Main St,5,2,1,3006,Traditional,2,959216,8.94692778703957,80.88780338103922,Downtown
49,Madurai,6777 Main St,5,3,1,4358,Contemporary,2,828387,12.677814085873866,77.15020928024018,Residential Area
50,Nagapattinam,7081 Main St,2,3,1,2380,Contemporary,2,601069,12.828160210591104,78.26401889146558,Uptown
51,Erode,6476 Park Blvd,4,2,1,1761,Ranch,1,217359,11.021857367586838,78.25643927635748,Uptown
52,Tiruchirappalli,2493 2nd St,4,1,0,4647,Traditional,2,353460,11.608984699224779,79.53385647694309,Uptown
53,Kochi,2693 Main St,1,2,0,4375,Modern,1,427255,10.102305260079703,77.42320143769656,Residential Area
54,Madurai,7340 2nd St,5,1,1,1675,Modern,2,313384,9.549854061300962,79.51417612351544,Residential Area
55,Salem,6290 Main St,4,2,0,3218,Modern,1,934681,11.970907308234047,77.38016096260648,Uptown
56,Madurai,6593 3rd Ave,1,3,1,4998,Contemporary,2,436305,12.740313319586946,77.37981458967333,Residential Area
57,Erode,2978 Park Blvd,4,1,1,1801,Traditional,3,280466,11.597426541256612,79.91273342875392,Downtown
58,Salem,3744 Main St,5,1,1,4184,Traditional,3,479457,10.81374835855602,78.29654069533119,Downtown
59,Kochi,1376 Park Blvd,3,1,1,4866,Contemporary,1,331446,8.874086217642944,80.90969179085499,Industrial
60,Erode,402 3rd Ave,5,3,0,3645,Modern,1,567230,8.2940229193265,77.14941174574221,Historic District
61,Coimbatore,155 2nd St,2,2,1,2281,Modern,2,754596,10.451304846357106,78.78042665487197,Downtown
62,Tiruchirappalli,8817 2nd St,4,3,0,4101,Ranch,2,982821,8.271422600335818,77.4525437506961,Industrial
63,Kochi,8250 2nd St,4,1,1,1457,Victorian,3,915523,11.131340475489738,78.40551586703243,Suburb
64,Nagapattinam,464 2nd St,2,2,1,3580,Traditional,2,561377,10.105010552247741,80.9928898024362,Historic District
65,Karur,4721 3rd Ave,2,3,1,1222,Traditional,1,782088,12.164540158250832,80.55537004695412,Downtown
66,Coimbatore,5226 3rd Ave,3,1,0,4481,Traditional,1,550706,9.681066732599009,77.19329763542159,Suburb
67,Kanyakumari,1746 3rd Ave,4,1,1,3510,Victorian,1,531691,11.261404855320876,79.25302337530273,Industrial
68,Kochi,2897 3rd Ave,4,3,1,1252,Ranch,1,912557,10.957259369653052,79.59128921929775,Downtown
69,Kanyakumari,5970 Park Blvd,3,3,1,3197,Victorian,1,174502,8.025918340372327,77.83813849580051,Downtown
70,Salem,8272 2nd St,1,3,0,2775,Modern,3,185757,8.398141690453707,77.5804222935858,Residential Area
71,Coimbatore,7773 2nd St,3,1,0,2457,Modern,3,977543,9.597025168673113,80.6175245386621,Suburb
72,Tiruchirappalli,6982 3rd Ave,5,3,0,3341,Traditional,1,772561,12.852292945614208,80.8752657659335,Downtown
73,Nagapattinam,3186 Park Blvd,4,1,1,3875,Contemporary,2,732933,8.808582251948781,80.96757142927856,Uptown
74,Sivakasi,8252 3rd Ave,2,3,0,3964,Traditional,1,471199,11.90991881753298,80.15904709493854,Residential Area
75,Nagapattinam,9005 3rd Ave,5,1,1,3766,Contemporary,3,269815,13.35351611383758,79.65400827762103,Residential Area
76,Erode,2076 Main St,4,1,0,2853,Victorian,1,834266,12.348121539801355,78.38292100877199,Downtown
77,Nagapattinam,6329 2nd St,3,2,0,1087,Modern,3,513170,9.33619948927874,77.685593249299,Residential Area
78,Thanjavur,225 Park Blvd,5,3,1,4017,Contemporary,3,482336,12.996008932271948,77.31592239746493,Historic District
79,Vellore,4732 Main St,4,3,0,4654,Victorian,1,331549,8.512089360796146,79.77318987420597,Suburb
80,Sivakasi,3696 Park Blvd,1,1,1,2247,Modern,1,317973,10.574780680289047,80.13889366071743,Historic District
81,Madurai,6268 Park Blvd,1,1,1,1407,Contemporary,2,896631,12.881480492495275,80.30581460981992,Industrial
82,Karur,7661 3rd Ave,2,1,0,2564,Traditional,3,202021,11.526961400912784,80.65506001321519,Historic District
83,Chennai,332 Main St,4,2,1,2025,Traditional,2,179092,10.275045106002343,80.5197182545535,Uptown
84,Tiruchirappalli,9461 3rd Ave,1,2,1,2035,Traditional,1,518987,9.610470767054428,80.99896508903237,Residential Area
85,Coimbatore,6471 3rd Ave,3,1,0,1829,Victorian,3,807191,10.063046729250924,77.976256043869,Residential Area
86,Vellore,9785 2nd St,4,3,0,3471,Traditional,2,462865,10.799179795551074,80.05323046084884,Uptown
87,Tiruchirappalli,8043 Park Blvd,3,3,1,4762,Ranch,2,440655,9.75474161430044,79.34583804949919,Residential Area
88,Coimbatore,6991 3rd Ave,3,2,0,3977,Modern,2,222782,13.329323241452649,78.04498052981432,Historic District
89,Karur,2572 Main St,1,2,1,4522,Victorian,1,992000,13.131927091863798,80.92762128914777,Industrial
90,Tirunelveli,2839 2nd St,4,1,1,2275,Traditional,1,514206,12.788693075178763,80.59159241909701,Downtown
91,Tirunelveli,1861 3rd Ave,5,3,0,3696,Modern,1,463651,10.320064095374594,77.51406267377646,Uptown
92,Kanyakumari,976 2nd St,1,1,0,1608,Contemporary,3,798565,11.802159731343759,77.10463336929368,Historic District
93,Tiruchirappalli,3912 Main St,1,2,0,1778,Traditional,1,804287,12.965561188697805,79.7533230493307,Historic District
94,Tirunelveli,9604 Main St,4,3,0,3263,Modern,3,357580,12.677362182234104,79.41652251542614,Historic District
95,Thanjavur,1833 2nd St,4,3,1,1525,Ranch,2,919032,10.278798577111143,80.74326249644459,Downtown
96,Sivakasi,5722 Park Blvd,3,2,1,3301,Contemporary,2,774416,8.618123271272434,77.93602114864147,Suburb
97,Coimbatore,7086 2nd St,4,1,0,4162,Ranch,1,422827,8.415967001090022,77.33755179157995,Residential Area
98,Kanyakumari,3835 3rd Ave,3,1,0,2016,Modern,2,697952,11.173852248741365,78.03686133508795,Residential Area
99,Nagapattinam,9452 3rd Ave,1,3,1,4851,Ranch,1,776652,11.534453643660123,77.07571056204586,Industrial
100,Coimbatore,8534 3rd Ave,2,2,1,2997,Modern,3,925372,12.674134325283632,77.14357100475573,Suburb
101,Kanyakumari,1163 Main St,5,3,1,3606,Modern,2,314244,9.608832611875672,80.65943122368304,Residential Area
102,Karur,9211 3rd Ave,1,2,1,1578,Ranch,1,626857,8.921087698025234,78.40806633000751,Industrial
103,Tiruchirappalli,105 2nd St,4,1,0,1772,Modern,2,214340,10.084532082480097,78.64323600403873,Industrial
104,Karur,8759 Park Blvd,5,2,1,3610,Traditional,2,761524,9.944663179977512,77.07348661815242,Historic District
105,Sivakasi,8295 3rd Ave,2,1,1,2923,Modern,1,161017,8.728579247098201,78.08208712068739,Uptown
106,Sivakasi,8937 2nd St,2,2,0,1398,Victorian,2,973045,11.697554588822337,80.21890393496572,Historic District
107,Vellore,2651 2nd St,3,3,1,4141,Modern,2,936167,10.797805674011567,79.46196383866688,Downtown
108,Karur,5660 2nd St,5,1,1,1024,Victorian,2,704636,11.966175158631215,80.01512240434566,Residential Area
109,Erode,946 3rd Ave,3,3,0,1640,Modern,2,559664,9.939801160933541,78.78885496317514,Industrial
110,Nagapattinam,6416 Park Blvd,1,3,0,2614,Modern,3,421635,9.791362163677363,78.23891688700532,Uptown
111,Kochi,6569 2nd St,5,1,0,1906,Ranch,2,359720,10.599167191741206,78.93124037331349,Residential Area
112,Karur,9433 Park Blvd,1,1,1,924,Traditional,2,271070,12.825740399673307,78.29228427362301,Industrial
113,Vellore,9015 Main St,3,3,1,4046,Traditional,1,901917,8.221547187036892,80.35588438669627,Industrial
114,Salem,4308 Park Blvd,5,3,0,3731,Contemporary,3,995191,12.426580495130597,78.19069486237139,Historic District
115,Thanjavur,2148 2nd St,3,3,0,4925,Ranch,1,412512,10.02943186961766,79.63905456181233,Uptown
116,Coimbatore,9865 Main St,5,3,1,3771,Ranch,1,185010,12.700404641836627,77.54792888923811,Uptown
117,Sivakasi,2017 3rd Ave,3,1,0,2817,Traditional,1,710139,12.412116548597211,79.74746597493964,Residential Area
118,Salem,7088 3rd Ave,2,1,0,3215,Ranch,3,797049,9.918186860678485,80.65319884640013,Industrial
119,Vellore,3844 2nd St,3,3,0,3896,Traditional,1,928928,11.816320944268888,79.43433261855964,Uptown
120,Kanyakumari,109 Main St,2,2,1,2409,Ranch,1,836296,8.877980162253921,79.23942152013791,Uptown
121,Kochi,6138 2nd St,3,2,1,1517,Modern,1,753146,12.929548536900835,80.84447307208656,Residential Area
122,Nagapattinam,2319 2nd St,5,1,1,4361,Traditional,2,741293,10.224700854485501,79.50958622126339,Historic District
123,Nagapattinam,2160 Park Blvd,5,3,1,1816,Traditional,1,187493,10.5059408844536,78.03820173309234,Suburb
124,Nagapattinam,1719 Main St,5,3,1,4365,Victorian,3,875155,11.881674780703417,78.16956409539097,Downtown
125,Thanjavur,1442 Main St,4,1,1,2760,Ranch,3,841750,12.51462130187668,79.82122657014371,Suburb
126,Kochi,2932 Main St,1,2,0,1848,Ranch,2,684580,9.299885088305153,79.94174637556874,Uptown
127,Thanjavur,2094 3rd Ave,5,2,1,2157,Traditional,3,833725,11.637425769323475,78.21398492715606,Industrial
128,Sivakasi,3590 2nd St,2,2,1,4226,Modern,3,673238,10.155989241390316,78.38137591170532,Downtown
129,Thanjavur,9410 Main St,5,1,0,915,Modern,2,251735,10.027866082021788,80.96422603495635,Downtown
130,Chennai,1704 2nd St,4,2,1,2895,Modern,1,697200,11.7951420316736,77.40781019832112,Industrial
131,Kochi,335 2nd St,2,1,1,2601,Ranch,2,230771,10.12950800785764,78.6185801137604,Downtown
132,Erode,2008 Park Blvd,4,1,0,2946,Victorian,1,861932,9.903596750904242,77.24979012479002,Industrial
133,Kochi,3630 Main St,2,3,0,2420,Traditional,1,781581,12.597386244694334,80.28431344799296,Downtown
134,Vellore,2735 3rd Ave,3,2,0,3750,Contemporary,3,249083,8.557018681070534,77.36938335578174,Residential Area
135,Chennai,9862 Main St,1,1,1,4592,Victorian,2,787943,11.717409425566158,79.69602942585084,Residential Area
136,Nagapattinam,5515 Park Blvd,1,2,0,3741,Contemporary,3,771747,9.367989665848436,77.22593369601393,Suburb
137,Vellore,6051 Main St,4,2,1,1777,Victorian,3,548750,8.085240330044046,79.69142015123876,Downtown
138,Vellore,8107 3rd Ave,1,3,1,3866,Modern,1,897365,8.917203478799806,80.37214778771082,Historic District
139,Sivakasi,9164 Main St,4,2,1,1583,Ranch,3,382682,11.336638413767272,78.59528610769623,Industrial
140,Dindigul,6513 Park Blvd,4,3,1,1040,Contemporary,2,578886,11.900199553172655,79.0885059737287,Downtown
141,Madurai,7041 3rd Ave,4,1,0,2353,Victorian,3,379171,8.11581780955976,78.60616695202113,Residential Area
142,Chennai,4920 Main St,1,2,0,1812,Ranch,3,523839,8.20033993815946,78.20195503453056,Residential Area
143,Vellore,2998 3rd Ave,4,1,1,986,Contemporary,1,317558,12.963981631636242,80.21305360250851,Industrial
144,Madurai,177 2nd St,1,2,0,2681,Traditional,2,446412,8.40318199962546,78.08801029492396,Historic District
145,Madurai,4327 Main St,4,1,1,1230,Victorian,3,257338,12.918001872391141,79.8917736975578,Downtown
146,Chennai,1165 Main St,5,2,1,1038,Traditional,1,624551,9.254912525629981,77.8247883170208,Downtown
147,Dindigul,9610 Park Blvd,4,2,1,3145,Modern,3,438480,12.07009790087017,77.99941518431332,Historic District
148,Salem,7043 3rd Ave,2,2,0,875,Traditional,2,940073,9.703532869203066,78.34584465030885,Historic District
149,Kanyakumari,7904 2nd St,4,2,1,2156,Traditional,3,237132,12.72313614085051,79.35662550957515,Historic District
150,Erode,6084 3rd Ave,3,2,1,3130,Victorian,3,445103,11.852501759833968,78.81768927663816,Residential Area
151,Kanyakumari,4770 3rd Ave,4,2,0,2702,Modern,1,294378,10.209974022309323,79.98057923931128,Industrial
152,Kochi,9284 Main St,2,2,0,4813,Traditional,3,327254,8.419663497957437,77.85426920134476,Historic District
153,Nagapattinam,2292 Main St,2,2,0,2859,Ranch,1,748411,12.029851011289438,77.04268915139534,Industrial
154,Erode,4133 2nd St,1,2,0,940,Contemporary,2,599542,11.392866157808498,80.10622988714088,Suburb
155,Kochi,3787 Park Blvd,5,1,1,2589,Traditional,3,902255,8.016014448085839,80.28659733552028,Downtown
156,Vellore,4118 3rd Ave,4,3,0,4426,Modern,2,695786,8.05180920784845,77.23792065243356,Downtown
157,Nagapattinam,2070 2nd St,1,2,1,816,Traditional,2,744486,12.448361352559816,79.44363008863358,Uptown
158,Coimbatore,5865 3rd Ave,5,3,0,1264,Contemporary,3,650585,9.426698563410197,78.51282713549232,Suburb
159,Chennai,1302 Park Blvd,4,2,0,2627,Modern,1,177197,11.498735172504361,80.17558262077807,Historic District
160,Erode,5667 Park Blvd,3,2,0,3828,Victorian,2,826079,10.498179308708862,80.49765821678591,Historic District
161,Erode,5842 Main St,4,1,0,1319,Modern,2,258775,12.74886507986972,80.404015067189,Residential Area
162,Karur,5508 Park Blvd,2,1,0,889,Victorian,3,961464,13.043286122063687,80.10881698940341,Suburb
163,Vellore,8769 3rd Ave,2,3,0,3651,Modern,3,996056,13.482442419733697,78.07620891496865,Historic District
164,Salem,1022 Park Blvd,3,1,1,3643,Contemporary,3,978396,8.845262746939857,80.24755857427327,Uptown
165,Madurai,2304 2nd St,1,1,0,2684,Contemporary,3,835388,12.746302255615115,79.13391390362517,Industrial
166,Nagapattinam,1220 Main St,5,3,0,4971,Modern,3,261030,9.463117572008409,77.21102645932837,Downtown
167,Vellore,1050 Main St,4,1,0,1725,Traditional,3,466790,11.249487311925293,78.827755399593,Suburb
168,Tirunelveli,5473 Park Blvd,2,2,0,4534,Contemporary,1,551752,10.78175058628066,80.76863166811998,Downtown
169,Dindigul,2745 2nd St,1,3,1,1769,Victorian,2,791687,8.098934723648131,80.55143739894221,Industrial
170,Madurai,4712 3rd Ave,3,3,0,1894,Victorian,1,206747,13.130242039483521,77.40905712398846,Suburb
171,Chennai,1965 Main St,2,2,0,3995,Ranch,1,195712,8.430798803320702,79.97650674285748,Industrial
172,Madurai,6128 3rd Ave,3,1,0,2204,Victorian,3,549489,11.785204056742547,80.22317146383294,Historic District
173,Salem,6471 Main St,4,3,0,4164,Ranch,2,483964,12.317537599145442,78.08555275294705,Historic District
174,Sivakasi,6459 Park Blvd,5,3,1,4782,Modern,1,275342,12.374083169762264,78.88643428296437,Historic District
175,Karur,7963 3rd Ave,2,2,0,4813,Modern,3,765516,8.745219854108646,79.84395176585473,Industrial
176,Madurai,3328 Park Blvd,2,2,1,3892,Modern,3,486497,10.461634727793847,78.75616595528459,Industrial
177,Chennai,2471 Park Blvd,4,1,0,4959,Traditional,2,637707,12.561858787386889,77.45118767546631,Industrial
178,Salem,3856 2nd St,1,3,1,2874,Traditional,1,242091,9.66473565708315,79.82352977872688,Downtown
179,Kanyakumari,194 3rd Ave,5,1,1,1084,Ranch,1,498058,10.57261771456065,80.64655475894122,Industrial
180,Erode,6998 Park Blvd,2,1,0,1987,Victorian,1,331902,9.500366409849152,79.60993891362463,Historic District
181,Sivakasi,893 3rd Ave,5,2,0,4769,Victorian,3,560343,10.549532798369283,80.09520299427614,Uptown
182,Karur,2216 Park Blvd,2,3,1,3765,Modern,2,396222,12.883108574260842,78.43345014263132,Industrial
183,Erode,6266 3rd Ave,5,3,1,1583,Contemporary,2,364560,10.503183270680232,77.73279298050655,Uptown
184,Dindigul,445 2nd St,3,3,0,1749,Traditional,1,685827,11.057516093908763,79.57109464647317,Historic District
185,Kochi,8654 Park Blvd,2,2,1,4739,Traditional,3,852121,10.22186955816696,78.31108482336488,Industrial
186,Sivakasi,7883 2nd St,5,2,1,844,Modern,1,982651,10.530644507618291,80.44029407595917,Downtown
187,Sivakasi,1084 Main St,1,2,1,2610,Traditional,2,425478,8.083458094755319,77.49051219991203,Downtown
188,Kanyakumari,7890 Park Blvd,3,2,0,2881,Modern,3,944335,9.560600304782508,78.7338547989325,Uptown
189,Kanyakumari,927 3rd Ave,3,2,1,4298,Ranch,1,571743,10.401199469580035,78.58691040187354,Residential Area
190,Nagapattinam,3631 Park Blvd,1,3,1,1629,Victorian,1,664906,11.485883367960009,80.75221541421571,Downtown
191,Thanjavur,4551 Park Blvd,5,1,1,2709,Contemporary,3,732296,10.475285618046406,77.61253920241762,Downtown
192,Madurai,3976 Park Blvd,4,3,0,3381,Victorian,2,626492,9.857993738268602,77.03938730004805,Downtown
193,Sivakasi,226 2nd St,1,1,0,1491,Victorian,3,511462,10.134543044392863,77.95234085122847,Historic District
194,Erode,8895 3rd Ave,5,2,1,4819,Ranch,1,569924,9.332613310602566,80.28110743907462,Downtown
195,Chennai,6124 2nd St,1,1,0,1731,Traditional,1,816220,13.08471855525729,77.83728726418806,Suburb
196,Tiruchirappalli,4246 Main St,1,3,1,4206,Contemporary,1,217300,10.86958774185003,77.96351225482194,Industrial
197,Thanjavur,3468 2nd St,2,3,0,947,Traditional,1,541407,8.073751996296677,77.51959521814724,Downtown
198,Tiruchirappalli,1892 2nd St,5,1,0,1832,Victorian,2,957274,8.106954421307506,79.86174481310616,Residential Area
199,Karur,5832 Main St,4,2,1,2111,Modern,2,341285,13.351288992236228,77.27669676202167,Residential Area
200,Salem,3517 2nd St,2,2,0,1187,Victorian,1,978804,9.217979902552848,78.3248332093141,Downtown
201,Erode,9497 3rd Ave,1,3,0,3921,Traditional,2,526460,12.43084558847873,78.12999490648386,Downtown
202,Erode,2972 Main St,1,1,0,2673,Victorian,2,248971,8.32051415858316,79.22063891916062,Suburb
203,Thanjavur,1954 2nd St,1,2,1,4388,Modern,2,188744,13.06639505182002,79.92166506007894,Downtown
204,Sivakasi,4762 3rd Ave,5,2,0,1715,Ranch,1,528226,12.809293520166731,79.13150573878698,Downtown
205,Dindigul,5131 3rd Ave,5,3,0,2678,Traditional,3,469586,11.14101239338983,80.72410397190028,Industrial
206,Thanjavur,2808 3rd Ave,2,2,1,4548,Victorian,3,760278,8.049492615057908,80.80577055554933,Residential Area
207,Tiruchirappalli,7212 Main St,4,1,0,1077,Traditional,3,519061,9.417959807128357,78.44586131399406,Suburb
208,Thanjavur,8493 Park Blvd,2,3,0,2777,Ranch,1,384975,10.237524560691558,80.11072150509958,Residential Area
209,Erode,6556 Main St,3,3,0,2659,Victorian,2,677938,10.53035264211159,79.95520553307276,Suburb
210,Dindigul,8070 3rd Ave,1,1,0,3836,Victorian,2,719405,9.637233172093046,80.57185836681931,Residential Area
211,Madurai,636 2nd St,1,3,0,4171,Traditional,1,939622,8.181213275350414,78.79177456083082,Downtown
212,Tirunelveli,8073 2nd St,1,2,1,2982,Traditional,1,198113,11.245700732595981,79.12189274879117,Residential Area
213,Nagapattinam,8170 2nd St,2,2,1,1970,Modern,3,289861,10.882850672321158,78.6630972543263,Residential Area
214,Coimbatore,8766 2nd St,2,1,0,1289,Ranch,3,182125,9.556503494859928,80.40150767719882,Suburb
215,Kanyakumari,6590 Main St,1,2,0,3325,Modern,1,379767,8.208867821632836,77.91880926144854,Uptown
216,Thanjavur,6883 3rd Ave,2,1,0,1982,Victorian,3,542144,13.470268029720671,77.95883631296978,Suburb
217,Karur,9246 Park Blvd,5,1,1,3288,Traditional,2,840778,10.650924027545233,78.49042041430832,Suburb
218,Kochi,1305 Park Blvd,5,2,1,2676,Victorian,1,328157,12.158023329757423,77.9213713284094,Suburb
219,Salem,2090 Park Blvd,2,1,0,3262,Victorian,1,693056,10.487727192782344,79.24402734565969,Historic District
220,Tirunelveli,3672 Park Blvd,1,2,0,2430,Contemporary,2,855321,8.237436599746179,77.537960425982,Historic District
221,Nagapattinam,6420 Main St,2,3,1,1087,Contemporary,2,493243,9.702804097970251,78.28074487761621,Historic District
222,Nagapattinam,4857 2nd St,2,3,0,2707,Victorian,2,403807,9.760605775532456,80.65377879390236,Suburb
223,Nagapattinam,5688 Main St,2,1,1,1961,Traditional,3,833245,12.610940972269589,78.63690192076719,Uptown
224,Nagapattinam,1066 Main St,3,2,1,929,Victorian,1,761709,11.59826487899931,79.99293486597404,Suburb
225,Tiruchirappalli,3532 Main St,5,2,0,3163,Contemporary,3,866442,9.5148644700171,77.4538487668263,Downtown
226,Karur,4343 2nd St,4,3,1,943,Traditional,2,943327,13.322569750624973,77.99025803256714,Uptown
227,Karur,8633 Park Blvd,4,3,0,815,Victorian,3,331383,9.768480078188293,80.22938248480148,Historic District
228,Dindigul,5282 Main St,3,2,0,1044,Ranch,2,894854,13.490287142057962,80.05197174515878,Residential Area
229,Kanyakumari,6804 3rd Ave,2,1,0,1726,Ranch,3,348139,13.478900312436448,78.54462367437529,Residential Area
230,Erode,1859 Main St,3,3,0,3978,Victorian,3,221017,9.05165784760708,80.81758760813389,Industrial
231,Nagapattinam,9281 3rd Ave,3,1,0,2976,Traditional,2,960364,9.720076139036202,80.64257206333818,Uptown
232,Kochi,2582 3rd Ave,1,1,0,1686,Victorian,3,695648,10.673243091665597,80.84920299644897,Historic District
233,Erode,1051 3rd Ave,5,3,1,1140,Victorian,1,991279,11.6525536913134,78.71165876075113,Uptown
234,Karur,2179 2nd St,4,1,1,2851,Contemporary,3,652394,10.904260969520896,77.78989433474273,Uptown
235,Chennai,4624 Main St,2,1,1,4198,Ranch,3,764653,13.331928080227414,79.50663455636537,Residential Area
236,Chennai,8577 Park Blvd,4,2,1,4750,Contemporary,1,759756,11.981940403296303,79.7390926331168,Suburb
237,Kochi,7286 2nd St,4,1,0,1105,Contemporary,2,407137,9.166246671606359,77.50176713780208,Downtown
238,Dindigul,868 2nd St,5,2,1,1707,Victorian,1,451075,8.57803652617501,80.14593213718362,Industrial
239,Karur,5590 3rd Ave,4,3,1,3454,Contemporary,3,205823,11.786207098901462,77.07224087903984,Historic District
240,Kochi,6745 Park Blvd,4,3,1,4592,Ranch,2,974464,8.871488420994197,78.93091354990713,Uptown
241,Tiruchirappalli,5332 2nd St,3,2,0,4842,Contemporary,3,921279,12.332222621846647,78.32406503797958,Industrial
242,Thanjavur,5897 3rd Ave,5,3,1,2171,Ranch,3,886786,9.710701669931854,79.96121223959634,Uptown
