bedrooms,halls,size,location,price,bathrooms,balconies,parking_spaces,age_of_property,furnishing,facing_direction,floor_number,total_floors,has_lift,property_type
2,1,2121,Mylapore,350285.0,2,0,1,11,Fully-furnished,East,6,7,True,Independent House
4,1,2654,Guindy,409050.0,3,0,0,22,Semi-furnished,South,14,18,True,Apartment
2,1,2952,Mylapore,420920.0,2,1,2,25,Semi-furnished,North,3,7,True,Villa
2,1,858,Anna Nagar,228640.0,3,1,1,3,Unfurnished,North,9,10,False,Villa
4,2,1009,Mylapore,340765.0,3,2,1,12,Unfurnished,West,13,16,True,Apartment
5,2,2942,Velachery,475650.0,1,0,2,15,Fully-furnished,West,3,5,False,Villa
2,1,1401,Velachery,255075.0,2,0,1,29,Semi-furnished,East,6,9,True,Villa
2,1,2167,Adyar,354195.0,3,1,1,12,Fully-furnished,West,9,19,False,Villa
4,1,2898,Adyar,484330.0,2,2,2,17,Fully-furnished,West,15,16,False,Apartment
2,2,2776,Adyar,422960.0,1,2,0,8,Semi-furnished,South,18,19,True,Villa
2,2,1300,Velachery,262500.0,1,0,0,21,Semi-furnished,South,11,13,True,Apartment
4,2,2528,Nungambakkam,497520.0,2,1,2,12,Unfurnished,North,2,11,False,Apartment
4,1,1925,Tambaram,307125.0,1,0,0,29,Fully-furnished,East,7,18,True,Apartment
1,2,1718,Nungambakkam,316620.0,2,0,2,6,Unfurnished,North,1,15,True,Apartment
5,1,1107,Anna Nagar,344560.0,3,1,2,21,Fully-furnished,East,15,19,False,Independent House
5,1,1272,Velachery,335400.0,3,0,2,9,Semi-furnished,West,12,12,True,Independent House
2,1,2270,Porur,256200.0,3,1,1,24,Unfurnished,West,10,16,True,Villa
5,2,875,Velachery,320625.0,1,2,2,24,Fully-furnished,West,13,13,False,Apartment
2,2,1442,Anna Nagar,291360.0,3,2,0,2,Semi-furnished,South,15,17,True,Independent House
1,1,2999,Porur,275940.0,3,2,0,14,Semi-furnished,North,10,12,False,Apartment
4,1,2553,Velachery,401475.0,3,1,0,3,Unfurnished,South,2,5,True,Independent House
4,1,2761,Nungambakkam,500490.0,3,2,0,1,Fully-furnished,West,14,20,True,Apartment
4,2,1051,Porur,243060.0,1,0,2,12,Semi-furnished,West,4,11,False,Apartment
5,2,2548,T Nagar,475840.0,3,2,1,11,Fully-furnished,East,19,19,False,Independent House
1,1,1174,Nungambakkam,249660.0,3,2,1,2,Semi-furnished,North,14,19,False,Apartment
5,1,1942,Anna Nagar,411360.0,3,0,2,20,Semi-furnished,North,7,11,False,Independent House
5,1,1807,Porur,300420.0,3,0,2,24,Fully-furnished,East,10,19,False,Independent House
1,1,952,Anna Nagar,204160.0,3,1,2,21,Unfurnished,West,8,9,False,Independent House
1,2,2347,T Nagar,331760.0,3,2,2,29,Fully-furnished,West,17,19,False,Independent House
1,2,2436,Tambaram,275340.0,1,2,2,11,Fully-furnished,South,19,19,True,Apartment
1,2,1509,Adyar,281265.0,2,0,1,12,Fully-furnished,West,19,20,False,Villa
4,1,2620,Sholinganallur,379400.0,3,1,1,9,Semi-furnished,North,4,5,False,Villa
3,2,1980,Adyar,389300.0,1,1,1,7,Fully-furnished,East,14,20,False,Independent House
3,2,2044,Guindy,348300.0,3,1,1,21,Fully-furnished,South,4,4,True,Villa
1,2,973,Nungambakkam,249570.0,3,1,1,4,Unfurnished,West,10,19,True,Villa
3,1,1037,Tambaram,223405.0,3,2,1,1,Fully-furnished,North,7,8,True,Apartment
3,2,1563,Velachery,312225.0,3,1,2,20,Unfurnished,West,20,20,False,Independent House
1,2,2701,Velachery,337575.0,2,2,0,17,Unfurnished,North,4,18,False,Villa
3,1,980,Adyar,287300.0,1,2,1,27,Semi-furnished,North,10,14,True,Independent House
5,1,2945,Porur,368700.0,1,0,1,6,Semi-furnished,East,15,19,True,Villa
2,1,2835,Tambaram,314275.0,3,1,0,2,Semi-furnished,South,10,20,True,Independent House
2,1,2195,Nungambakkam,377550.0,1,2,1,25,Fully-furnished,South,3,8,True,Independent House
1,2,2000,Adyar,323000.0,3,0,0,14,Fully-furnished,North,15,15,False,Apartment
4,1,1662,Mylapore,379270.0,3,0,2,7,Semi-furnished,South,4,8,False,Apartment
1,2,1736,Porur,212160.0,2,2,1,19,Fully-furnished,West,3,9,False,Villa
4,1,1269,Mylapore,345865.0,3,1,2,24,Semi-furnished,North,12,18,False,Villa
2,1,1529,Adyar,299965.0,1,1,0,14,Semi-furnished,South,7,7,False,Independent House
1,2,2603,Anna Nagar,352240.0,2,2,2,5,Unfurnished,North,12,12,False,Independent House
5,1,2626,Sholinganallur,407820.0,2,1,1,16,Fully-furnished,East,11,11,True,Independent House
3,1,1356,Mylapore,319260.0,3,0,1,18,Unfurnished,West,15,15,False,Villa
4,2,1769,Porur,286140.0,3,2,1,5,Semi-furnished,South,3,5,True,Apartment
3,2,2067,Tambaram,303355.0,3,0,1,7,Unfurnished,East,13,17,True,Villa
3,1,926,T Nagar,266080.0,3,2,2,5,Unfurnished,East,19,19,True,Villa
1,1,1935,Adyar,300475.0,1,1,2,14,Unfurnished,East,5,6,True,Independent House
3,1,1778,Nungambakkam,376020.0,1,2,0,27,Semi-furnished,East,4,15,True,Villa
5,2,2265,Mylapore,481525.0,1,2,1,23,Semi-furnished,West,8,20,True,Villa
3,2,1462,Velachery,304650.0,3,0,0,0,Fully-furnished,West,5,14,True,Apartment
1,1,2230,Anna Nagar,306400.0,1,1,0,29,Unfurnished,North,9,9,True,Apartment
5,2,2676,Mylapore,516460.0,2,1,2,0,Semi-furnished,East,19,20,True,Independent House
2,2,2060,Velachery,319500.0,2,0,2,1,Semi-furnished,West,14,19,True,Villa
3,1,961,Velachery,252075.0,2,1,0,7,Fully-furnished,East,13,19,False,Villa
1,1,2204,Guindy,285300.0,2,0,1,6,Semi-furnished,North,6,9,True,Apartment
2,1,1608,Tambaram,234520.0,1,2,1,21,Fully-furnished,North,9,19,False,Independent House
2,1,2104,Porur,246240.0,3,0,1,18,Fully-furnished,South,13,17,True,Apartment
4,2,1355,Mylapore,370175.0,2,1,1,7,Fully-furnished,West,3,20,False,Apartment
5,1,1964,Porur,309840.0,3,1,1,10,Fully-furnished,North,12,12,False,Independent House
3,1,1877,Adyar,363545.0,1,0,2,21,Unfurnished,South,3,17,True,Apartment
1,2,2362,Sholinganallur,291340.0,2,2,0,8,Fully-furnished,West,11,20,True,Apartment
4,2,1319,Mylapore,367115.0,1,2,1,10,Semi-furnished,North,15,20,False,Villa
5,2,1283,Mylapore,398055.0,1,2,2,18,Unfurnished,South,4,18,False,Independent House
4,2,970,Mylapore,337450.0,1,1,2,17,Fully-furnished,North,9,16,False,Independent House
5,2,1509,Nungambakkam,441810.0,3,2,1,26,Semi-furnished,North,5,12,False,Apartment
5,2,1900,Guindy,397500.0,2,2,0,22,Fully-furnished,East,18,18,False,Villa
3,2,2852,Nungambakkam,490680.0,1,2,0,6,Unfurnished,North,15,17,True,Independent House
5,1,2060,Adyar,447100.0,2,0,1,21,Semi-furnished,West,9,13,False,Apartment
4,1,2490,Guindy,396750.0,2,0,0,23,Semi-furnished,North,12,20,True,Apartment
5,2,2322,Velachery,429150.0,1,1,1,12,Fully-furnished,East,20,20,False,Villa
3,1,864,Anna Nagar,261120.0,3,1,2,11,Unfurnished,East,19,20,False,Villa
3,2,2659,Porur,315540.0,2,2,0,2,Fully-furnished,East,20,20,False,Independent House
4,1,1465,Tambaram,277225.0,1,1,1,6,Fully-furnished,East,3,10,True,Villa
2,2,1088,Velachery,246600.0,2,0,1,24,Unfurnished,South,16,18,True,Villa
2,2,1548,Porur,224880.0,1,0,2,25,Fully-furnished,North,11,13,False,Apartment
5,2,1221,Porur,277260.0,3,1,2,23,Fully-furnished,East,1,18,False,Apartment
1,2,1190,Nungambakkam,269100.0,1,0,2,0,Semi-furnished,East,9,17,False,Apartment
5,2,1555,Nungambakkam,445950.0,3,0,1,24,Semi-furnished,North,8,16,False,Independent House
4,2,1828,Velachery,362100.0,2,0,1,28,Unfurnished,South,6,13,True,Villa
4,1,1960,Sholinganallur,333200.0,2,2,2,26,Fully-furnished,West,7,15,True,Apartment
4,1,1549,T Nagar,347920.0,1,0,2,6,Unfurnished,South,4,9,False,Apartment
4,1,1871,Mylapore,397035.0,2,2,0,13,Fully-furnished,West,8,13,False,Apartment
4,1,1357,Velachery,311775.0,1,1,2,17,Semi-furnished,North,4,13,True,Independent House
3,1,1887,Anna Nagar,342960.0,2,0,1,18,Unfurnished,South,16,16,True,Independent House
2,1,1503,Tambaram,227695.0,1,0,0,25,Semi-furnished,South,2,20,False,Apartment
4,2,2493,Tambaram,357045.0,3,0,0,28,Unfurnished,West,20,20,True,Villa
1,2,2600,Adyar,374000.0,1,2,0,15,Semi-furnished,East,14,20,False,Villa
1,1,2548,Anna Nagar,331840.0,1,2,1,18,Unfurnished,South,12,17,True,Apartment
1,2,1559,T Nagar,268720.0,3,1,0,23,Semi-furnished,South,11,19,False,Independent House
1,1,1017,Mylapore,222445.0,1,1,2,4,Semi-furnished,South,14,17,True,Independent House
3,1,2797,Porur,311820.0,3,2,2,17,Unfurnished,East,3,20,True,Independent House
1,2,2374,Mylapore,354790.0,1,1,1,8,Unfurnished,East,7,16,True,Villa
4,2,2556,Velachery,416700.0,1,0,1,24,Semi-furnished,North,9,17,False,Independent House
5,1,2390,Mylapore,475150.0,1,2,2,29,Semi-furnished,West,10,18,False,Apartment
1,2,2583,Mylapore,372555.0,1,1,1,4,Unfurnished,West,2,12,True,Apartment
3,2,1107,Sholinganallur,259489.99999999997,2,2,1,10,Semi-furnished,North,5,8,False,Villa
3,1,2655,Adyar,429675.0,1,2,0,24,Unfurnished,North,10,15,False,Villa
1,1,2401,Anna Nagar,320080.0,1,2,0,2,Unfurnished,North,8,8,True,Independent House
5,1,2529,Sholinganallur,401030.0,3,1,1,18,Fully-furnished,East,9,10,True,Independent House
1,1,1942,Adyar,301070.0,2,2,0,11,Unfurnished,East,2,14,False,Villa
3,2,861,Guindy,259575.0,2,1,1,25,Fully-furnished,East,13,19,False,Independent House
2,1,1820,Anna Nagar,305600.0,1,1,1,2,Semi-furnished,North,4,5,True,Independent House
4,2,2223,Sholinganallur,365610.0,3,0,0,17,Fully-furnished,East,1,11,False,Apartment
3,2,1963,Adyar,387855.0,2,0,1,13,Unfurnished,South,4,4,True,Apartment
1,1,1351,Mylapore,250835.0,3,1,2,8,Semi-furnished,West,16,18,False,Independent House
4,2,1833,Adyar,410805.0,3,0,0,23,Fully-furnished,South,11,15,True,Villa
1,1,1366,Porur,177960.0,1,1,0,17,Fully-furnished,North,16,17,False,Apartment
1,2,1646,T Nagar,275680.0,3,0,1,4,Fully-furnished,East,3,10,True,Villa
2,2,1807,Sholinganallur,280490.0,1,2,0,16,Semi-furnished,West,12,19,True,Villa
4,2,2339,Porur,320340.0,3,1,0,1,Fully-furnished,East,5,9,True,Independent House
4,1,2206,T Nagar,400480.0,2,0,1,23,Semi-furnished,East,7,7,False,Independent House
2,2,1846,Sholinganallur,283220.0,1,2,0,5,Unfurnished,North,13,16,False,Villa
3,1,2436,Porur,290160.0,3,2,0,21,Fully-furnished,East,11,18,True,Independent House
1,2,1360,Mylapore,268600.0,3,1,0,10,Semi-furnished,South,10,16,False,Independent House
5,1,1161,Tambaram,283465.0,2,1,2,3,Semi-furnished,South,14,14,False,Villa
1,2,1760,Mylapore,302600.0,3,1,2,20,Semi-furnished,North,5,7,False,Villa
1,2,2648,Sholinganallur,311360.0,1,1,1,28,Semi-furnished,South,13,20,True,Apartment
3,2,2138,Adyar,402730.0,2,0,1,0,Fully-furnished,South,7,20,False,Independent House
1,1,2058,Velachery,274350.0,2,0,0,9,Unfurnished,West,13,19,False,Apartment
2,2,1972,Mylapore,354620.0,3,1,0,0,Fully-furnished,South,5,15,True,Independent House
2,1,1491,Sholinganallur,244369.99999999997,3,2,1,29,Unfurnished,North,1,4,False,Villa
4,2,2717,Anna Nagar,457360.0,1,2,2,11,Unfurnished,East,17,20,True,Villa
5,1,2727,Anna Nagar,474160.0,1,0,0,29,Semi-furnished,West,1,5,True,Villa
1,2,2104,Mylapore,331840.0,3,0,1,24,Semi-furnished,West,15,18,False,Villa
1,2,959,Adyar,234515.0,3,2,1,2,Fully-furnished,North,1,10,True,Independent House
3,2,2711,Velachery,398325.0,1,0,1,19,Unfurnished,South,11,12,False,Apartment
2,1,2631,Mylapore,393635.0,2,2,0,9,Fully-furnished,East,1,20,True,Apartment
5,1,962,Sholinganallur,291340.0,1,0,2,1,Fully-furnished,East,11,13,False,Villa
4,2,2438,Guindy,407850.0,2,0,1,27,Semi-furnished,South,7,17,False,Villa
2,1,2283,Adyar,364055.0,3,0,1,21,Semi-furnished,East,14,18,False,Villa
4,1,2690,Mylapore,466650.0,2,2,2,2,Fully-furnished,West,2,11,False,Villa
3,2,2697,Nungambakkam,476730.0,2,2,1,1,Unfurnished,North,11,12,False,Apartment
3,2,1039,Velachery,272925.0,2,2,0,4,Semi-furnished,West,12,20,False,Independent House
1,2,2765,Anna Nagar,365200.0,2,0,0,6,Unfurnished,South,8,9,True,Villa
5,2,2535,Sholinganallur,415450.0,2,0,1,19,Fully-furnished,South,12,19,False,Villa
4,1,1285,Mylapore,347225.0,3,0,1,27,Semi-furnished,South,18,18,False,Villa
2,1,1470,Sholinganallur,242899.99999999997,3,0,1,20,Unfurnished,West,10,16,False,Apartment
3,2,2659,Anna Nagar,420720.0,1,2,1,10,Unfurnished,West,2,11,True,Apartment
1,1,1817,Mylapore,290445.0,2,0,0,14,Fully-furnished,North,17,18,False,Villa
1,1,2020,Anna Nagar,289600.0,1,1,0,19,Fully-furnished,West,7,16,False,Apartment
4,1,1865,Adyar,396525.0,3,2,0,12,Unfurnished,East,17,20,True,Apartment
3,2,1052,Anna Nagar,292160.0,1,2,0,11,Unfurnished,South,2,3,True,Villa
5,2,816,Adyar,358360.0,1,0,2,19,Fully-furnished,North,1,16,True,Independent House
3,2,915,Porur,210900.0,3,2,0,17,Semi-furnished,West,11,18,True,Villa
4,2,2715,T Nagar,457200.0,1,0,1,21,Unfurnished,West,8,14,False,Independent House
4,2,2027,Sholinganallur,351890.0,3,0,2,22,Semi-furnished,North,17,19,False,Independent House
3,1,1492,Mylapore,330820.0,2,0,1,8,Unfurnished,West,8,20,False,Villa
4,2,1611,Porur,276660.0,2,0,0,23,Fully-furnished,South,10,14,True,Apartment
3,2,2835,Sholinganallur,380450.0,2,2,2,8,Unfurnished,East,20,20,False,Apartment
2,1,1594,Anna Nagar,287520.0,2,2,0,27,Semi-furnished,West,16,20,True,Villa
3,2,950,Mylapore,301750.0,3,0,1,9,Semi-furnished,South,1,2,True,Apartment
3,1,1881,Velachery,321075.0,2,0,0,29,Semi-furnished,South,13,20,False,Apartment
4,1,1306,Sholinganallur,287420.0,3,0,1,4,Semi-furnished,South,1,8,True,Independent House
4,2,1915,Tambaram,319475.0,3,1,2,17,Fully-furnished,North,7,19,True,Villa
1,1,2429,Porur,241740.0,2,0,1,27,Fully-furnished,East,7,17,False,Apartment
1,1,2764,Porur,261840.0,1,0,0,12,Unfurnished,North,17,19,False,Apartment
2,1,2748,Adyar,403580.0,3,0,1,16,Unfurnished,North,10,15,True,Apartment
1,2,1191,Tambaram,194415.0,2,1,0,8,Unfurnished,North,9,12,False,Independent House
3,1,845,Sholinganallur,227150.0,3,1,0,6,Fully-furnished,East,1,12,False,Independent House
4,1,954,Mylapore,319090.0,3,1,1,17,Fully-furnished,North,6,18,True,Independent House
1,1,1310,Sholinganallur,203700.0,3,1,2,2,Semi-furnished,South,6,8,False,Independent House
1,1,1081,Adyar,227885.0,2,0,1,19,Fully-furnished,South,2,4,False,Apartment
2,1,2249,Velachery,318675.0,1,2,0,12,Semi-furnished,East,11,12,True,Independent House
2,2,829,T Nagar,242320.0,3,2,0,16,Unfurnished,East,20,20,True,Villa
3,1,1520,Guindy,294000.0,1,0,1,25,Unfurnished,South,18,20,True,Apartment
4,1,2146,Porur,296760.0,3,1,1,3,Fully-furnished,West,18,18,False,Villa
2,2,2930,T Nagar,410400.0,1,0,2,28,Unfurnished,West,6,20,False,Villa
1,1,2626,Anna Nagar,338080.0,1,1,2,10,Fully-furnished,East,8,17,True,Apartment
4,1,2882,Mylapore,482970.0,1,0,2,12,Semi-furnished,North,5,11,True,Apartment
4,1,2852,Porur,339120.0,2,0,1,9,Unfurnished,East,20,20,True,Apartment
1,2,1829,Anna Nagar,290320.0,2,0,0,12,Fully-furnished,South,4,7,False,Villa
2,2,2070,Porur,256200.0,1,1,0,25,Fully-furnished,North,10,15,True,Apartment
1,2,1916,Tambaram,241540.0,3,2,2,11,Semi-furnished,West,6,20,False,Independent House
4,1,2614,Adyar,460190.0,1,2,2,23,Unfurnished,East,3,6,True,Independent House
5,1,2828,Tambaram,391820.0,1,0,1,3,Semi-furnished,South,10,19,True,Villa
5,2,1114,Mylapore,383690.0,2,2,2,21,Semi-furnished,North,11,12,True,Apartment
3,2,1343,Velachery,295725.0,3,2,0,24,Semi-furnished,West,4,11,False,Apartment
1,2,2059,Guindy,289425.0,1,2,1,21,Unfurnished,East,18,20,True,Apartment
1,2,2363,Mylapore,353855.0,2,0,1,25,Semi-furnished,South,13,18,True,Independent House
3,2,2364,Porur,297840.0,1,2,1,5,Semi-furnished,West,9,9,False,Villa
3,1,2959,Anna Nagar,428720.0,1,0,1,15,Fully-furnished,North,14,17,False,Apartment
3,1,2838,Nungambakkam,471420.0,2,1,1,11,Fully-furnished,East,10,19,True,Apartment
4,1,1931,Nungambakkam,425790.0,3,0,1,21,Semi-furnished,West,15,16,True,Apartment
1,1,1234,Adyar,240890.0,1,0,1,25,Unfurnished,South,15,15,False,Apartment
4,1,1172,Nungambakkam,357480.0,2,1,1,14,Semi-furnished,East,3,8,False,Independent House
3,1,1719,Adyar,350115.0,1,1,0,18,Fully-furnished,South,14,18,True,Independent House
1,1,2696,Sholinganallur,300720.0,3,2,2,24,Fully-furnished,West,13,17,False,Independent House
4,1,2388,Guindy,389100.0,1,2,0,8,Semi-furnished,South,19,20,True,Villa
4,1,2854,Adyar,480590.0,2,0,1,18,Fully-furnished,East,13,18,False,Villa
3,2,1899,Mylapore,382415.0,3,0,0,25,Fully-furnished,South,3,4,True,Independent House
1,1,1657,T Nagar,260560.0,1,2,0,28,Unfurnished,East,7,7,False,Villa
3,1,1857,Tambaram,276705.0,1,2,1,28,Fully-furnished,North,6,19,False,Apartment
1,1,1530,Porur,187800.0,2,1,0,10,Unfurnished,West,5,11,True,Independent House
5,2,2987,Nungambakkam,574830.0,3,1,1,1,Fully-furnished,North,10,11,True,Villa
2,2,1113,Guindy,248475.0,2,1,1,20,Semi-furnished,East,13,13,True,Apartment
2,1,1266,Guindy,244950.0,1,1,1,26,Fully-furnished,North,20,20,False,Apartment
2,1,2643,Adyar,394655.0,1,0,2,17,Fully-furnished,South,11,17,True,Villa
3,1,2032,Tambaram,288080.0,3,0,2,10,Fully-furnished,West,1,14,True,Independent House
5,1,1623,Mylapore,409955.0,1,0,2,12,Fully-furnished,East,15,19,True,Apartment
1,2,881,Tambaram,174265.0,3,1,0,1,Fully-furnished,East,5,12,False,Villa
4,2,895,Anna Nagar,311600.0,2,2,2,14,Unfurnished,East,1,9,False,Villa
1,1,1188,Mylapore,236980.0,2,0,2,18,Semi-furnished,West,6,8,True,Apartment
4,2,1909,Anna Nagar,392720.0,3,2,1,1,Semi-furnished,South,13,17,True,Villa
1,2,1895,Anna Nagar,295600.0,1,2,0,0,Fully-furnished,West,19,19,True,Villa
5,2,1875,Sholinganallur,369250.0,2,1,1,8,Fully-furnished,East,8,10,True,Villa
4,2,1263,Velachery,319725.0,1,0,2,7,Semi-furnished,South,16,17,True,Independent House
3,1,2084,Sholinganallur,313880.0,3,2,1,10,Fully-furnished,North,9,10,True,Villa
1,2,1626,Guindy,256950.0,1,0,0,12,Fully-furnished,East,3,14,False,Apartment
1,2,2616,Nungambakkam,397440.0,2,0,2,1,Semi-furnished,South,5,17,True,Villa
4,1,1135,Tambaram,255775.0,2,0,2,14,Unfurnished,West,15,18,False,Villa
3,1,2679,Adyar,431715.0,2,0,1,9,Unfurnished,West,8,18,True,Independent House
3,1,2861,Anna Nagar,420880.0,2,0,1,8,Semi-furnished,South,16,16,False,Apartment
5,1,1516,Porur,282960.0,1,1,2,17,Fully-furnished,East,15,18,False,Apartment
3,2,2294,Adyar,415990.0,2,0,0,17,Fully-furnished,North,7,7,False,Villa
3,1,1363,Tambaram,244595.0,2,2,2,12,Semi-furnished,South,2,2,False,Apartment
3,2,855,Sholinganallur,241849.99999999997,1,2,1,2,Fully-furnished,South,18,20,False,Apartment
2,1,2033,Porur,241980.0,1,0,0,2,Unfurnished,North,11,15,True,Independent House
5,2,2116,Anna Nagar,441280.0,3,1,0,19,Unfurnished,North,10,20,True,Apartment
1,1,2232,Nungambakkam,344880.0,3,2,1,9,Fully-furnished,North,16,17,False,Villa
4,1,2227,Guindy,377025.0,2,2,2,29,Unfurnished,South,15,16,True,Independent House
1,2,2392,Anna Nagar,335360.0,3,0,1,18,Unfurnished,East,6,11,True,Independent House
5,1,2965,Velachery,462375.0,3,0,2,5,Fully-furnished,West,12,12,True,Apartment
4,1,1023,Velachery,286725.0,1,0,1,5,Unfurnished,South,4,4,True,Villa
5,1,1116,Sholinganallur,302120.0,2,0,2,2,Semi-furnished,East,6,17,True,Independent House
3,1,1135,Mylapore,300475.0,1,2,2,27,Semi-furnished,East,2,16,False,Independent House
4,1,2099,Tambaram,318435.0,1,2,0,23,Semi-furnished,North,12,19,False,Apartment
3,1,1058,Velachery,259350.0,3,2,2,0,Unfurnished,South,17,18,True,Independent House
1,1,1092,Nungambakkam,242280.0,3,0,1,12,Unfurnished,South,10,17,True,Apartment
1,1,1986,Mylapore,304810.0,2,1,0,11,Unfurnished,North,9,17,True,Independent House
4,1,1303,Anna Nagar,328240.0,3,0,2,26,Semi-furnished,South,19,19,True,Villa
4,1,2459,Velachery,394425.0,3,0,2,8,Unfurnished,West,5,15,True,Apartment
5,2,2334,Tambaram,372710.0,3,1,0,20,Unfurnished,East,4,5,False,Villa
5,2,2351,Sholinganallur,402570.0,3,1,2,29,Fully-furnished,West,15,18,False,Apartment
3,2,2191,Porur,287460.0,2,0,1,3,Unfurnished,South,6,19,True,Independent House
4,2,1820,Guindy,361500.0,1,2,1,3,Semi-furnished,North,11,15,False,Villa
