property_id,date,price
property_3,2020-05-31,221900
property_3,2020-06-30,223200
property_3,2020-07-31,226000
property_3,2020-08-31,227700
property_3,2020-09-30,228900
property_3,2020-10-31,234600
property_3,2020-11-30,236900
property_3,2020-12-31,235700
property_3,2021-01-31,236400
property_3,2021-02-28,239000
property_3,2021-03-31,241700
property_3,2021-04-30,245300
property_3,2021-05-31,250600
property_3,2021-06-30,267500
property_3,2021-07-31,280600
property_3,2021-08-31,270000
property_3,2021-09-30,249900
property_3,2021-10-31,246500
property_3,2021-11-30,247500
property_3,2021-12-31,242300
property_3,2022-01-31,245100
property_3,2022-02-28,251500
property_3,2022-03-31,260400
property_3,2022-04-30,265800
property_3,2022-05-31,270900
property_3,2022-06-30,271500
property_3,2022-07-31,275300
property_3,2022-08-31,275300
property_3,2022-09-30,265900
property_3,2022-10-31,275100
property_3,2022-11-30,277600
property_3,2022-12-31,274400
property_3,2023-01-31,274500
property_3,2023-02-28,273100
property_3,2023-03-31,262600
property_3,2023-04-30,260800
property_3,2023-05-31,255800
property_3,2023-06-30,273500
property_3,2023-07-31,297300
property_3,2023-08-31,299900
property_3,2023-09-30,309700
property_3,2023-10-31,306000
property_3,2023-11-30,303000
property_3,2023-12-31,297700
property_3,2024-01-31,300500
property_3,2024-02-29,305100
property_3,2024-03-31,313000
property_3,2024-04-30,315400
property_3,2024-05-31,319500
property_3,2024-06-30,317600
property_3,2024-07-31,310900
